transaction_id,timestamp,merchant_id,amount,payment_method,bank,status,error_source,error_step,error_reason,latency_seconds,location,device_type
TXN_000001,2026-08-31 19:54:00,MERCHANT_016,1802.11,UPI,Bank_C,SUCCESS,,,,3.06,Mumbai,Mobile
TXN_000002,2026-08-31 20:32:00,MERCHANT_006,955.02,CARD,Bank_E,SUCCESS,,,,2.6,Chennai,Desktop
TXN_000003,2026-08-31 10:35:00,MERCHANT_039,867.7,UPI,Bank_E,SUCCESS,,,,0.7,Delhi,Tablet
TXN_000004,2026-08-31 20:05:00,MERCHANT_015,867.71,CARD,Bank_D,SUCCESS,,,,3.53,Hyderabad,Tablet
TXN_000005,2026-08-31 09:06:00,MERCHANT_045,5319.92,CARD,Bank_B,SUCCESS,,,,0.57,Hyderabad,Desktop
TXN_000006,2026-08-31 12:40:00,MERCHANT_007,2362.4,WALLET,Bank_C,SUCCESS,,,,3.89,Delhi,Desktop
TXN_000007,2026-08-31 14:52:00,MERCHANT_047,685.76,CARD,Bank_A,SUCCESS,,,,1.14,Hyderabad,Tablet
TXN_000008,2026-08-31 15:27:00,MERCHANT_041,1886.65,UPI,Bank_C,SUCCESS,,,,1.14,Chennai,Desktop
TXN_000009,2026-08-31 10:11:00,MERCHANT_050,1396.83,UPI,Bank_B,SUCCESS,,,,2.01,Bangalore,Mobile
TXN_000010,2026-08-31 10:43:00,MERCHANT_041,161.86,UPI,Bank_D,SUCCESS,,,,1.52,Bangalore,Mobile
TXN_000011,2026-08-31 12:34:00,MERCHANT_039,398.29,CARD,Bank_A,SUCCESS,,,,1.52,Pune,Mobile
TXN_000012,2026-08-31 13:10:00,MERCHANT_018,1501.54,UPI,Bank_D,SUCCESS,,,,1.78,Pune,Tablet
TXN_000013,2026-08-31 20:41:00,MERCHANT_015,4748.81,UPI,Bank_A,SUCCESS,,,,1.2,Delhi,Desktop
TXN_000014,2026-08-31 10:07:00,MERCHANT_046,875.0,UPI,Bank_E,SUCCESS,,,,2.3,Bangalore,Mobile
TXN_000015,2026-08-31 15:45:00,MERCHANT_010,636.27,NETBANKING,Bank_D,SUCCESS,,,,2.63,Bangalore,Mobile
TXN_000016,2026-08-31 18:34:00,MERCHANT_028,1225.28,UPI,Bank_E,SUCCESS,,,,1.1,Chennai,Desktop
TXN_000017,2026-08-31 11:21:00,MERCHANT_049,601.46,UPI,Bank_A,SUCCESS,,,,2.89,Delhi,Mobile
TXN_000018,2026-08-31 11:43:00,MERCHANT_039,819.18,CARD,Bank_D,SUCCESS,,,,2.04,Delhi,Desktop
TXN_000019,2026-08-31 16:59:00,MERCHANT_001,1081.93,UPI,Bank_E,SUCCESS,,,,0.62,Pune,Tablet
TXN_000020,2026-08-31 18:09:00,MERCHANT_008,380.81,CARD,Bank_C,SUCCESS,,,,3.68,Bangalore,Desktop
TXN_000021,2026-08-31 09:03:00,MERCHANT_033,2496.25,WALLET,Bank_C,SUCCESS,,,,1.59,Mumbai,Tablet
TXN_000022,2026-08-31 19:40:00,MERCHANT_039,323.49,UPI,Bank_E,SUCCESS,,,,2.32,Mumbai,Mobile
TXN_000023,2026-08-31 11:45:00,MERCHANT_001,290.56,UPI,Bank_E,SUCCESS,,,,3.89,Chennai,Desktop
TXN_000024,2026-08-31 10:54:00,MERCHANT_016,1335.23,NETBANKING,Bank_C,SUCCESS,,,,3.21,Delhi,Mobile
TXN_000025,2026-08-31 10:20:00,MERCHANT_005,2294.95,UPI,Bank_D,SUCCESS,,,,0.81,Chennai,Mobile
TXN_000026,2026-08-31 17:06:00,MERCHANT_017,1301.62,NETBANKING,Bank_B,SUCCESS,,,,1.19,Chennai,Tablet
TXN_000027,2026-08-31 12:36:00,MERCHANT_046,976.87,NETBANKING,Bank_B,SUCCESS,,,,1.86,Bangalore,Desktop
TXN_000028,2026-08-31 20:05:00,MERCHANT_029,811.51,UPI,Bank_E,SUCCESS,,,,1.45,Delhi,Mobile
TXN_000029,2026-08-31 14:46:00,MERCHANT_015,691.84,UPI,Bank_E,FAILED,CUSTOMER,AUTHORIZATION,TIMEOUT,5.65,Chennai,Mobile
TXN_000030,2026-08-31 09:32:00,MERCHANT_033,3156.19,NETBANKING,Bank_A,SUCCESS,,,,2.4,Mumbai,Desktop
TXN_000031,2026-08-31 12:39:00,MERCHANT_037,1516.38,UPI,Bank_E,SUCCESS,,,,0.76,Hyderabad,Mobile
